,cas_number,vapor pressure,temperature,substantivity,percentage
3631,22030-19-9,0.001,25.0,24.0,100.0
3641,79-69-6,0.004,25.0,104.0,100.0
3642,79-70-9,0.002,25.0,264.0,100.0
3643,27939-60-2,0.953,25.0,0.5,100.0
3644,68039-49-6,0.578,25.0,8.0,100.0
3645,68039-48-5,0.578,25.0,16.0,100.0
3646,67801-65-4,0.578,25.0,16.0,100.0
3649,68901-32-6,0.001,25.0,32.0,100.0
3668,34686-67-4,0.004,25.0,112.0,100.0
3672,34686-71-0,0.004,25.0,400.0,100.0
3673,78649-62-4,0.093,25.0,12.0,100.0
3676,38285-49-3,0.006,25.0,356.0,100.0
3677,68959-28-4,0.001,25.0,340.0,100.0
3682,51608-18-5,0.122,25.0,0.5,100.0
3699,488-10-8,0.01,25.0,68.0,100.0
3700,95-41-0,0.016,25.0,32.0,100.0
3702,40010-99-9,0.000332,25.0,400.0,100.0
3704,18871-14-2,0.004,25.0,356.0,100.0
3721,94406-15-2,0.01,25.0,24.0,100.0
3724,109-29-5,2.6e-05,25.0,400.0,100.0
3806,143-07-7,0.001,25.0,0.5,100.0
3896,28069-74-1,0.53,25.0,0.5,100.0
3897,7493-57-4,0.02,25.0,29.0,100.0
3898,22457-23-4,0.041,25.0,16.0,100.0
3899,4621-04-9,0.068,25.0,12.0,100.0
3901,5764-85-2,0.000186,25.0,284.0,100.0
3905,31906-04-4,2.9e-05,25.0,400.0,100.0
3912,8008-56-8,0.95,25.0,4.0,100.0
3913,8008-56-8,0.95,25.0,4.0,100.0
3917,8008-56-8,0.95,25.0,4.0,100.0
3918,68916-89-2,0.95,25.0,4.0,100.0
3936,8007-02-1,0.07,25.0,92.0,100.0
3965,67633-92-5,0.003,25.0,168.0,100.0
3974,104-09-6,0.115,25.0,352.0,100.0
3978,10415-87-9,0.003,25.0,304.0,100.0
3984,55066-49-4,0.005,25.0,184.0,100.0
3985,103694-68-4,0.002,25.0,400.0,100.0
3986,80-54-6,0.005,25.0,236.0,100.0
3994,8008-26-2,0.8,25.0,20.0,100.0
3996,8008-26-2,0.8,25.0,20.0,100.0
4000,8008-26-2,0.8,25.0,20.0,100.0
4020,5989-27-5,0.198,25.0,4.0,100.0
4028,78-70-6,0.016,25.0,12.0,100.0
4030,126-91-0,0.091,25.0,16.0,100.0
4031,1365-19-1,0.002,25.0,12.0,100.0
4044,115-95-7,0.116,25.0,20.0,100.0
4048,7149-26-0,1e-06,25.0,336.0,100.0
4049,126-64-7,4.7e-05,25.0,5.0,100.0
4051,78-35-3,0.012,25.0,8.0,100.0
4052,78-37-5,1e-06,25.0,132.0,100.0
4059,10024-64-3,0.000125,25.0,72.0,100.0
4060,7143-69-3,5.8e-05,25.0,12.0,100.0
4062,144-39-8,0.026,25.0,12.0,100.0
4094,5392-40-5,0.091,25.0,24.0,100.0
4104,475-20-7,0.031,25.0,24.0,100.0
4106,67999-56-8,0.021,25.0,64.0,100.0
4109,23787-90-8,0.003,25.0,240.0,100.0
4130,71077-31-1,0.012,25.0,0.5,100.0
4135,27606-09-3,0.003,25.0,308.0,100.0
4143,65416-14-0,0.00028,25.0,0.5,100.0
4149,8008-31-9,0.95,25.0,8.0,100.0
4158,8008-31-9,0.95,25.0,8.0,100.0
4192,68084-04-8,0.001,25.0,72.0,100.0
4193,762-26-5,0.01,25.0,364.0,100.0
4194,25225-08-5,0.068,25.0,12.0,100.0
4197,72928-51-9,0.001,25.0,16.0,100.0
4198,38462-23-6,0.000107,25.0,304.0,100.0
4247,67634-23-5,0.021,25.0,132.0,100.0
4248,30772-79-3,0.026,25.0,0.5,100.0
4249,106-72-9,0.622,25.0,144.0,100.0
4252,111-79-5,0.146,25.0,16.0,100.0
4256,30772-69-1,0.007,25.0,168.0,100.0
4305,68683-20-5,0.007,25.0,8.0,100.0
4309,499-70-7,0.116,25.0,4.0,100.0
4320,89-78-1,0.032,25.0,32.0,100.0
4322,116-02-9,0.173,25.0,20.0,100.0
4325,14073-97-3,0.256,25.0,4.0,100.0
4329,89-80-5,0.256,25.0,0.5,100.0
4330,491-07-6,0.256,25.0,4.0,100.0
4337,67859-96-5,0.199,25.0,0.5,100.0
4338,2623-23-6,0.071,25.0,10.0,100.0
4339,16409-45-3,0.071,25.0,12.0,100.0
4349,16409-46-4,0.007,25.0,96.0,100.0
4350,136954-20-6,0.049,25.0,181.0,100.0
4351,851768-51-9,0.353,25.0,22.0,100.0
4352,79-42-5,0.103,25.0,400.0,100.0
4353,675-09-2,0.029,25.0,400.0,100.0
4357,64988-06-3,0.246,25.0,0.5,100.0
4359,1504-74-1,0.000125,25.0,48.0,100.0
4362,3613-30-7,0.04,25.0,48.0,100.0
4364,929253-05-4,0.04,25.0,20.0,100.0
4367,400052-49-5,0.4,25.0,23.0,100.0
4370,62439-41-2,0.119,25.0,366.0,100.0
4375,120811-92-9,0.128,25.0,3.0,100.0
4387,7786-61-0,0.019,25.0,240.0,100.0
4391,577-16-2,0.159,25.0,27.0,100.0
4392,122-00-9,0.187,25.0,20.0,100.0
4408,134-20-3,0.016,25.0,88.0,100.0
4413,93-58-3,0.38,25.0,4.0,100.0
4432,3549-23-3,0.008,25.0,172.0,100.0
4438,116-53-0,0.554,25.0,244.0,100.0
4440,32388-55-9,8.4e-05,25.0,400.0,100.0
4444,101-39-3,0.017,25.0,240.0,100.0
4447,103-26-4,0.011,25.0,164.0,100.0
4448,1754-62-7,0.011,25.0,164.0,100.0
4451,1504-55-8,0.004,25.0,48.0,100.0
4455,28043-10-9,0.151,25.0,1.0,100.0
4469,67663-01-8,0.005,25.0,188.0,100.0
4470,19009-56-4,0.102,25.0,172.0,100.0
4478,24851-98-7,0.001,25.0,72.0,100.0
4497,93-15-2,0.027,25.0,60.0,100.0
4498,93-16-3,0.011,25.0,240.0,100.0
4500,620-02-0,0.644,25.0,0.5,100.0
4503,611-13-2,0.858,25.0,64.0,100.0
4505,1189-09-9,0.026,25.0,6.0,100.0
4507,1604-28-0,0.464,25.0,48.0,100.0
4518,111-12-6,0.125,25.0,240.0,100.0
4521,4536-23-6,0.058,25.0,0.5,100.0
4545,7779-30-8,0.003,25.0,0.5,100.0
4546,127-42-4,0.003,25.0,124.0,100.0
4547,127-42-4,0.003,25.0,124.0,100.0
4548,127-42-4,0.003,25.0,124.0,100.0
4550,127-51-5,0.003,25.0,124.0,100.0
4551,127-51-5,0.003,25.0,124.0,100.0
4552,127-51-5,0.003,25.0,124.0,100.0
4553,127-51-5,0.003,25.0,124.0,100.0
4554,127-43-5,0.001,25.0,328.0,100.0
4558,1335-46-2,0.003,25.0,184.0,100.0
4563,39924-52-2,0.001,25.0,256.0,100.0
4564,1211-29-6,0.001,25.0,0.5,100.0
4566,111-82-0,0.011,25.0,400.0,100.0
4599,122760-84-3,0.001,25.0,0.5,100.0
4608,13481-87-3,0.171,25.0,0.5,100.0
4619,2396-85-2,0.437,25.0,8.0,100.0
4620,7367-81-9,0.437,25.0,47.0,100.0
4626,111-80-8,0.057,25.0,112.0,100.0
4641,3142-72-1,0.055,25.0,380.0,100.0
4654,101-41-7,0.129,25.0,56.0,100.0
4663,7403-42-1,0.02,25.0,4.0,100.0
4675,119-36-8,0.0343,25.0,8.0,100.0
4676,67739-11-1,0.000157,25.0,400.0,100.0
4680,91-61-2,0.01,25.0,184.0,100.0
4687,28371-99-5,4.5e-05,25.0,96.0,100.0
4694,68141-17-3,0.025,25.0,400.0,100.0
4699,5760-50-9,0.019,25.0,24.0,100.0
4703,97-61-0,0.18,25.0,0.5,100.0
4704,3943-74-6,0.002,25.0,232.0,100.0
4706,68698-57-7,0.003,25.0,80.0,100.0
4708,22418-66-2,0.031,25.0,6.0,100.0
4723,84697-09-6,0.000101,25.0,0.5,100.0
4740,30168-23-1,0.000441,25.0,240.0,100.0
4742,68738-94-3,0.003,25.0,136.0,100.0
4743,103-05-9,0.098,25.0,244.0,100.0
4744,68991-97-9,0.004,25.0,140.0,100.0
4746,63767-86-2,0.007,25.0,196.0,100.0
4748,18479-54-4,0.018,25.0,120.0,100.0
4749,13351-61-6,0.008,25.0,160.0,100.0
4750,5502-75-0,0.019,25.0,72.0,100.0
4751,13828-37-0,0.019,25.0,72.0,100.0
4754,54082-68-7,0.002,25.0,72.0,100.0
4766,541-91-3,0.000176,25.0,400.0,100.0
4771,25225-10-9,0.107,25.0,3.0,100.0
4772,37609-25-9,3.3e-05,25.0,400.0,100.0
4780,111879-80-2,4e-06,25.0,336.0,100.0
4786,67919-67-9,0.016,25.0,400.0,100.0
4789,1222-05-5,0.000414,25.0,400.0,100.0
4795,33704-61-9,0.003,25.0,48.0,100.0
4800,68140-48-7,4.5e-05,25.0,400.0,100.0
4804,14595-54-1,9.6e-05,25.0,376.0,100.0
4823,543-39-5,0.018,25.0,28.0,100.0
4824,1118-39-4,0.015,25.0,6.0,100.0
4837,52474-60-9,0.004,25.0,104.0,100.0
4855,564-94-3,0.145,25.0,48.0,100.0
4856,515-00-4,0.018,25.0,52.0,100.0
4880,103-07-1,0.003,25.0,28.0,100.0
4911,106-25-2,0.013,25.0,44.0,100.0
4912,1786-08-9,0.409,25.0,4.0,100.0
4917,31375-17-4,0.01,25.0,31.0,100.0
4925,7212-44-4,0.001,25.0,100.0,100.0
4929,2306-78-7,0.000127,25.0,272.0,100.0
4934,2173-57-1,0.001,25.0,116.0,100.0
4936,141-12-8,0.026,25.0,52.0,100.0
4940,2345-24-6,0.002,25.0,96.0,100.0
4953,105-91-9,0.003,25.0,10.0,100.0
4969,26370-28-5,0.28,25.0,0.5,100.0
4970,557-48-2,0.28,25.0,240.0,100.0
4972,67674-36-6,0.012,25.0,92.0,100.0
4975,7786-44-9,0.054,25.0,168.0,100.0
4977,28069-72-9,0.054,25.0,240.0,100.0
4978,76649-25-7,0.034,25.0,0.5,100.0
4979,56805-23-3,0.00468,25.0,0.5,100.0
4982,68555-65-7,0.026,25.0,0.5,100.0
4983,76649-26-8,0.026,25.0,0.5,100.0
4990,3301-94-8,0.018,25.0,0.5,100.0
4991,104-61-0,0.009,25.0,309.0,100.0
4992,124-19-6,0.532,25.0,276.0,100.0
4996,18824-63-0,0.235,25.0,8.0,100.0
4998,72894-12-3,1e-06,25.0,400.0,100.0
5006,143-08-8,0.041,25.0,44.0,100.0
5012,821-55-6,0.645,25.0,0.5,100.0
5013,925-78-0,0.551,25.0,8.0,100.0
5019,18829-56-6,0.256,25.0,0.5,100.0
5022,2277-19-2,0.449,25.0,0.5,100.0
5028,22104-79-6,0.037,25.0,0.5,100.0
5029,31502-14-4,0.037,25.0,0.5,100.0
5030,41453-56-9,0.037,25.0,0.5,100.0
5032,10340-23-5,0.074,25.0,0.5,100.0
5034,35854-86-5,0.078,25.0,63.0,100.0
5037,14309-57-0,0.301,25.0,0.5,100.0
5039,30418-89-4,0.046,25.0,0.5,100.0
5040,76238-22-7,0.028,25.0,0.5,100.0
5041,58430-94-7,0.47,25.0,4.0,100.0
5043,65155-45-5,0.061,25.0,3.0,100.0
5045,143-13-5,0.197,25.0,12.0,100.0
5050,13257-44-8,0.043,25.0,48.0,100.0
5054,128-50-7,0.009,25.0,32.0,100.0
5055,128-51-8,0.008,25.0,0.5,100.0
5068,1193-18-6,0.315,25.0,0.5,100.0
5089,86803-90-9,0.004,25.0,287.0,100.0
5090,1205-17-0,0.003,25.0,64.0,100.0
5094,3016-19-1,0.816,25.0,120.0,100.0
5101,69103-20-4,0.806,25.0,24.0,100.0
5109,72214-23-4,0.114,25.0,12.0,100.0
5134,4430-31-3,0.006,25.0,400.0,100.0
5156,698-76-0,0.039,25.0,400.0,100.0
5157,104-50-7,0.041,25.0,144.0,100.0
5162,10022-28-3,0.59,25.0,1.0,100.0
5164,4359-57-3,0.254,25.0,20.0,100.0
5165,67801-44-9,3e-06,25.0,400.0,100.0
5168,124-07-2,0.022,25.0,0.5,100.0
5169,111-87-5,0.0794,25.0,92.0,100.0
5170,123-96-6,0.306,25.0,12.0,100.0
5182,2548-87-0,0.552,25.0,68.0,100.0
5187,22104-78-5,0.107,25.0,0.5,100.0
5188,18409-17-1,0.107,25.0,0.5,100.0
5191,20125-84-2,0.16,25.0,15.0,100.0
5193,64275-73-6,0.138,25.0,12.0,100.0
5196,3391-86-4,0.531,25.0,0.5,100.0
5197,3687-48-7,0.531,25.0,0.5,100.0
5201,1669-44-9,0.897,25.0,0.5,100.0
5203,3913-80-2,0.137,25.0,0.5,100.0
5204,2442-10-6,0.213,25.0,8.0,100.0
5206,16491-54-6,0.024,25.0,5.0,100.0
5207,65737-52-2,0.005,25.0,0.5,100.0
5208,94134-03-9,0.046,25.0,6.0,100.0
5209,196109-18-9,0.028,25.0,6.0,100.0
5210,112-14-1,0.194,25.0,16.0,100.0
5211,4864-61-3,0.526,25.0,20.0,100.0
5214,110-39-4,0.035,25.0,24.0,100.0
5215,109-15-9,0.061,25.0,43.0,100.0
5219,112-32-3,0.339,25.0,4.0,100.0
5283,85351-07-1,0.003,25.0,140.0,100.0
5291,8008-57-9,0.97,25.0,140.0,100.0
5293,8008-57-9,0.97,25.0,140.0,100.0
5369,65405-84-7,0.005,25.0,24.0,100.0
5371,2983-37-1,0.413,25.0,44.0,100.0
5373,16587-71-6,0.065,25.0,328.0,100.0
5399,67634-15-5,0.008,25.0,80.0,100.0
5413,10031-71-7,0.000465,25.0,94.0,100.0
5438,2226-05-3,0.006,25.0,156.0,100.0
5441,54464-57-2,0.001,25.0,172.0,100.0
5458,95962-14-4,0.000367,25.0,380.0,100.0
5462,69300-15-8,0.021,25.0,84.0,100.0
5463,68039-44-1,0.001,25.0,48.0,100.0
5467,90397-38-9,0.104,25.0,16.0,100.0
5511,2520-60-7,0.129,25.0,0.5,100.0
5519,84560-00-9,0.038,25.0,48.0,100.0
5520,4819-67-4,0.131,25.0,16.0,100.0
5523,10461-98-0,4.2e-05,25.0,400.0,100.0
5524,19819-98-8,0.017,25.0,400.0,100.0
5529,4927-36-0,0.009,25.0,24.0,100.0
5544,14765-30-1,0.163,25.0,4.0,100.0
5547,8006-90-4,0.3,25.0,16.0,100.0
5548,8006-90-4,0.3,25.0,16.0,100.0
5556,8006-90-4,0.3,25.0,16.0,100.0
5557,8006-90-4,0.3,25.0,16.0,100.0
5559,8006-90-4,0.3,25.0,16.0,100.0
5560,8006-90-4,0.3,25.0,16.0,100.0
5564,8006-90-4,0.3,25.0,16.0,100.0
5567,8006-90-4,0.3,25.0,16.0,100.0
5571,15111-96-3,0.014,25.0,143.0,100.0
5572,536-59-4,0.006,25.0,269.0,100.0
5579,2111-75-3,0.043,25.0,8.0,100.0
5580,18031-40-8,0.043,25.0,8.0,100.0
5594,32764-98-0,0.004,25.0,400.0,100.0
5639,5426-78-8,0.119,25.0,196.0,100.0
5640,103-45-7,0.056,25.0,16.0,100.0
5641,60-12-8,0.0868,25.0,32.0,100.0
5643,94-47-3,3.4e-05,25.0,400.0,100.0
5644,5331-14-6,0.078,25.0,16.0,100.0
5646,103-48-0,0.01,25.0,164.0,100.0
5651,104-62-1,0.051,25.0,68.0,100.0
5663,67662-96-8,0.005,25.0,40.0,100.0
5665,122-70-3,0.02,25.0,96.0,100.0
5666,68039-47-4,0.294,25.0,92.0,100.0
5671,55719-85-2,0.001,25.0,240.0,100.0
5674,140-26-1,0.003,25.0,68.0,100.0
5675,2120-70-9,0.113,25.0,188.0,100.0
5676,2120-70-9,0.113,25.0,0.5,100.0
5680,122-99-6,0.016,25.0,84.0,100.0
5682,103-60-6,0.006,25.0,184.0,100.0
5683,58214-97-4,0.011,25.0,112.0,100.0
5685,23495-12-7,0.011,25.0,120.0,100.0
5686,122-78-1,0.368,25.0,400.0,100.0
5694,68345-22-2,0.002,25.0,40.0,100.0
5695,101-48-4,0.556,25.0,100.0,100.0
5696,101-49-5,0.047,25.0,72.0,100.0
5702,122-79-2,0.418,25.0,6.0,100.0
5706,2344-70-9,0.015,25.0,44.0,100.0
5720,3491-63-2,0.003,25.0,0.5,100.0
5725,93-53-8,0.294,25.0,24.0,100.0
5728,104-53-0,0.131,25.0,244.0,100.0
5730,90-87-9,0.123,25.0,12.0,100.0
5736,122-72-5,0.011,25.0,268.0,100.0
5741,19141-40-3,0.033,25.0,14.0,100.0
5743,122-97-4,0.003,25.0,152.0,100.0
5749,103-58-2,0.002,25.0,189.0,100.0
5757,3208-40-0,0.005,25.0,169.0,100.0
5770,7541-49-3,8e-06,25.0,168.0,100.0
5772,505-32-8,1.4e-05,25.0,68.0,100.0
5795,76-09-5,0.375,25.0,400.0,100.0
5798,4948-28-1,0.068,25.0,28.0,100.0
5804,13491-79-7,0.054,25.0,16.0,100.0
5836,33885-51-7,0.03,25.0,84.0,100.0
5897,6091-50-5,0.057,25.0,79.0,100.0
5898,4573-50-6,0.057,25.0,87.0,100.0
5907,68039-73-6,0.001,25.0,64.0,100.0
5909,70266-48-7,0.008,25.0,128.0,100.0
5910,39872-57-6,0.008,25.0,128.0,100.0
5941,5205-11-8,0.004,25.0,96.0,100.0
5950,68555-58-8,0.000457,25.0,192.0,100.0
5953,80480-24-6,0.034,25.0,24.0,100.0
5954,97375-48-9,0.052,25.0,40.0,100.0
5963,14374-92-6,0.045,25.0,24.0,100.0
5976,79915-74-5,0.002,25.0,0.5,100.0
5993,7780-06-5,0.007,25.0,252.0,100.0
6049,135-79-5,0.011,25.0,320.0,100.0
6062,17369-59-4,0.001,25.0,284.0,100.0
6069,67905-40-2,0.000309,25.0,0.5,100.0
6094,89-79-2,0.099,25.0,28.0,100.0
6095,7786-67-6,0.099,25.0,28.0,100.0
6097,89-82-7,0.093,25.0,8.0,100.0
6100,57576-09-7,0.025,25.0,24.0,100.0
6119,72903-27-6,0.003,25.0,48.0,100.0
6127,3572-06-3,3.8e-05,25.0,0.5,100.0
6129,104-20-1,0.004,25.0,324.0,100.0
6139,67633-94-7,0.003,25.0,36.0,100.0
6144,141-25-3,0.018,25.0,236.0,100.0
6145,6812-78-8,0.02,25.0,208.0,100.0
6148,141-11-7,0.015,25.0,208.0,100.0
6149,53751-40-9,0.00334,25.0,16.0,100.0
6152,138-23-8,0.002,25.0,348.0,100.0
6160,82461-14-1,0.038,25.0,24.0,100.0
6162,41816-03-9,0.003,25.0,96.0,100.0
6163,93939-86-7,0.021,25.0,48.0,100.0
6164,87641-24-5,0.113,25.0,48.0,100.0
6220,55066-48-3,0.006,25.0,400.0,100.0
6223,25634-93-9,0.004,25.0,20.0,100.0
6224,24817-51-4,0.003,25.0,48.0,100.0
6225,93981-50-1,0.002,25.0,72.0,100.0
6226,57934-97-1,0.017,25.0,20.0,100.0
6246,16409-43-1,0.551,25.0,0.5,100.0
6248,50816-18-7,0.011,25.0,24.0,100.0
6249,94201-73-7,0.015,25.0,48.0,100.0
6253,64165-57-7,0.021,25.0,168.0,100.0
6265,8000-25-7,0.82,25.0,4.0,100.0
6313,71566-51-3,0.154,25.0,100.0,100.0
6316,116-26-7,0.134,25.0,64.0,100.0
6323,8022-56-8,0.52,25.0,12.0,100.0
6369,28219-60-5,0.001,25.0,400.0,100.0
6371,72089-08-8,0.002,25.0,400.0,100.0
6372,198404-98-7,0.001,25.0,400.0,100.0
6373,5406-58-6,0.009,25.0,49.0,100.0
6376,41890-92-0,0.012,25.0,112.0,100.0
6377,65113-99-7,0.001,25.0,400.0,100.0
6378,67801-20-1,0.000281,25.0,400.0,100.0
6379,65113-95-3,0.003,25.0,192.0,100.0
6380,28219-61-6,0.00028,25.0,400.0,100.0
6392,69834-10-2,3.7e-05,25.0,400.0,100.0
6413,41414-75-9,0.000233,25.0,400.0,100.0
6414,67633-99-2,2.8e-05,25.0,312.0,100.0
6426,41496-43-9,0.045,25.0,168.0,100.0
6456,17909-77-2,0.000119,25.0,0.5,100.0
6474,16930-93-1,0.076,25.0,0.5,100.0
6476,16491-24-0,0.104,25.0,0.5,100.0
6492,67801-64-3,0.001,25.0,92.0,100.0
6504,62079-29-2,0.224,25.0,80.0,100.0
6507,8008-80-8,0.68,25.0,24.0,100.0
6518,4166-20-5,0.017,25.0,296.0,100.0
6520,4077-47-8,0.103,25.0,0.5,100.0
6522,77-83-8,0.006,25.0,241.0,100.0
6527,121-39-1,0.002,25.0,312.0,100.0
6530,93-92-5,0.203,25.0,8.0,100.0
6533,98-85-1,0.139,25.0,8.0,100.0
6540,120-45-6,0.069,25.0,6.0,100.0
6561,656-53-1,0.012,25.0,240.0,100.0
6601,6493-80-7,0.778,25.0,4.0,100.0
6611,91482-37-0,0.002,25.0,72.0,100.0
6615,134769-33-8,0.002,25.0,204.0,100.0
6664,98-55-5,0.028,25.0,20.0,100.0
6668,8007-35-0,0.058,25.0,24.0,100.0
6670,8000-41-7,0.031,25.0,24.0,100.0
6676,80-26-2,0.039,25.0,20.0,100.0
6684,2153-26-6,0.047,25.0,0.5,100.0
6685,14576-08-0,0.458,25.0,0.5,100.0
6686,80-27-3,0.013,25.0,32.0,100.0
6690,124-25-4,0.006,25.0,400.0,100.0
6698,59471-80-6,0.116,25.0,0.5,100.0
6703,637-64-9,0.249,25.0,3.0,100.0
6712,4361-23-3,0.004,25.0,0.5,100.0
6717,78-69-3,0.115,25.0,12.0,100.0
6720,20780-48-7,0.18,25.0,12.0,100.0
6724,18479-57-7,0.115,25.0,6.0,100.0
6737,28462-85-3,0.049,25.0,0.5,100.0
6750,36431-72-8,0.028,25.0,47.0,100.0
6756,22471-55-2,0.077,25.0,0.5,100.0
6762,8007-20-3,0.5,25.0,8.0,100.0
6770,499-44-5,8.9e-05,25.0,48.0,100.0
6799,707-29-9,0.228,25.0,16.0,100.0
6827,80-59-1,0.152,25.0,16.0,100.0
6839,70788-30-6,0.000469,25.0,0.5,100.0
6840,68391-29-7,0.453,25.0,168.0,100.0
6844,13215-88-8,0.002,25.0,0.5,100.0
6850,87641-23-4,0.004,25.0,80.0,100.0
6866,620-23-5,0.349,25.0,2.0,100.0
6868,104-87-0,0.263,25.0,120.0,100.0
6887,69486-14-2,0.00011,25.0,336.0,100.0
6904,54830-99-8,0.002,25.0,100.0,100.0
6906,67634-20-2,0.002,25.0,344.0,100.0
6907,17511-60-3,0.005,25.0,144.0,100.0
6908,64001-15-6,0.016,25.0,24.0,100.0
6916,7370-92-5,0.001,25.0,0.5,100.0
6917,10486-19-8,0.015,25.0,400.0,100.0
6924,593-08-8,0.016,25.0,0.5,100.0
6926,7774-82-5,0.004,25.0,0.5,100.0
6927,7069-41-2,0.004,25.0,0.5,100.0
6929,74962-98-4,0.001,25.0,0.5,100.0
6961,15373-31-6,0.067,25.0,44.0,100.0
6968,3452-97-9,0.119,25.0,16.0,100.0
7002,68228-09-1,1e-06,25.0,400.0,100.0
7010,79-78-7,0.000498,25.0,84.0,100.0
7011,67715-80-4,0.123,25.0,56.0,100.0
7021,33673-62-0,0.012,25.0,168.0,100.0
7025,40203-73-4,0.458,25.0,16.0,100.0
7048,710-04-3,0.002,25.0,400.0,100.0
7049,104-67-6,0.003,25.0,338.0,100.0
7051,112-44-7,0.083,25.0,72.0,100.0
7058,112-42-5,0.006,25.0,192.0,100.0
7059,1653-30-1,0.015,25.0,82.0,100.0
7061,112-12-9,0.098,25.0,128.0,100.0
7066,2463-77-6,0.0297,25.0,0.5,100.0
7067,53448-07-0,0.03,25.0,0.5,100.0
7068,58296-81-4,0.033,25.0,366.0,100.0
7069,147159-49-7,0.033,25.0,0.5,100.0
7071,112-45-8,0.039,25.0,380.0,100.0
7073,1337-83-3,0.033,25.0,400.0,100.0
7083,112-43-6,0.004,25.0,152.0,100.0
7086,112-19-6,0.012,25.0,257.0,100.0
7097,4630-07-3,0.011,25.0,336.0,100.0
7118,503-74-2,0.554,25.0,400.0,100.0
7119,108-29-2,0.235,25.0,2.0,100.0
7126,4630-82-4,0.788,25.0,200.0,100.0
7127,2563-07-7,0.02,25.0,400.0,100.0
7146,68527-74-2,7.2e-05,25.0,400.0,100.0
7152,20665-85-4,0.001,25.0,0.5,100.0
7157,68555-62-4,0.002,25.0,276.0,100.0
7159,120-14-9,0.004,25.0,400.0,100.0
7175,473-67-6,0.033,25.0,0.5,100.0
7181,61920-45-4,0.751,25.0,4.0,100.0
7182,5413-60-5,0.014,25.0,100.0,100.0
7198,4927-39-3,0.049,25.0,20.0,100.0
7204,89-88-3,2.2e-05,25.0,341.0,100.0
7205,117-98-6,0.00012,25.0,357.0,100.0
7222,81782-77-6,0.011,25.0,31.0,100.0
7223,166432-52-6,0.2,25.0,24.0,100.0
7231,87731-18-8,0.004,25.0,12.0,100.0
7232,97752-28-8,0.062,25.0,0.5,100.0
7248,93952-58-0,0.04,25.0,120.0,100.0
7249,70851-61-5,0.004,25.0,168.0,100.0
7250,22629-49-8,0.002,25.0,400.0,100.0
7251,24048-14-4,7.8e-05,25.0,204.0,100.0
7254,39212-23-2,0.027,25.0,59.0,100.0
7260,32210-23-4,0.103,25.0,8.0,100.0
7261,10411-92-4,0.103,25.0,24.0,100.0
7266,81786-73-4,0.028,25.0,12.0,100.0
7268,68966-86-9,0.011,25.0,73.0,100.0
7269,36306-87-3,0.003,25.0,96.0,100.0
7270,131812-67-4,7.6e-05,25.0,0.5,100.0
7271,950-33-4,0.003,25.0,284.0,100.0
7272,71735-79-0,0.004,25.0,268.0,100.0
7274,2986-54-1,0.041,25.0,76.0,100.0
7276,110458-85-0,0.002,25.0,156.0,100.0
7277,25304-14-7,0.287,25.0,12.0,100.0
7278,68845-00-1,0.014,25.0,96.0,100.0
7280,68259-33-6,0.002,25.0,68.0,100.0
7281,128119-70-0,0.000334,25.0,312.0,100.0
